AllocationYear,Donor Name,PooledFundName,Amount paid,Total Paid Pledge
2014,Australia,Afghanistan,371040.00,371040.00
2014,Australia,Myanmar,1881400.00,1881400.00
2014,Australia,Somalia,4383999.99,4383999.99
2014,Australia,South Sudan,7009900.01,7009900.01
2014,Belgium,DRC,6255700.00,6255700.00
2014,Belgium,South Sudan,3293925.01,3293925.01
2014,Canada,Turkey,4175016.70,4175016.70
2014,Denmark,CAR,5549197.15,5549197.15
2014,Denmark,Lebanon,1004049.67,1004049.67
2014,Denmark,oPt,982912.98,982912.98
2014,Denmark,Somalia,5602618.94,5602618.94
2014,Denmark,South Sudan,8316944.22,8316944.22
2014,Denmark,Sudan,1868600.04,1868600.04
2014,Denmark,Turkey,2342782.56,2342782.56
2014,Denmark,Yemen,3425896.28,3425896.28
2014,Finland,Somalia,1860600.00,1860600.00
2014,France,Turkey,622665.01,622665.01
2014,Germany,Jordan,1239157.37,1239157.37
2014,Germany,Lebanon,2478314.75,2478314.75
2014,Germany,oPt,627500.00,627500.00
2014,Germany,Somalia,1256000.00,1256000.00
2014,Germany,South Sudan,1957870.00,1957870.00
2014,Germany,Syria,2478314.75,2478314.75
2014,Germany,Turkey,7456637.37,7456637.37
2014,Germany,Yemen,2504600.00,2504600.00
2014,Iceland,oPt,130000.00,130000.00
2014,India,Jordan,500000.00,500000.00
2014,India,Lebanon,500000.00,500000.00
2014,India,Syria,1000000.00,1000000.00
2014,Ireland,CAR,3988800.00,3988800.00
2014,Ireland,DRC,4574050.00,4574050.00
2014,Ireland,Ethiopia,679347.83,679347.83
2014,Ireland,oPt,133689.84,133689.84
2014,Ireland,Somalia,4042400.00,4042400.00
2014,Ireland,South Sudan,4020300.00,4020300.00
2014,Ireland,Sudan,3211850.00,3211850.00
2014,"Korea, Republic of",Afghanistan,6000000.00,6000000.00
2014,"Korea, Republic of",Yemen,300000.00,300000.00
2014,Luxembourg,CAR,341525.00,341525.00
2014,Luxembourg,DRC,344025.01,344025.01
2014,Luxembourg,Syria,317662.01,317662.01
2014,Netherlands,CAR,16688500.00,16688500.00
2014,Netherlands,DRC,4605263.00,4605263.00
2014,Netherlands,Somalia,1268400.00,1268400.00
2014,Netherlands,South Sudan,15665100.00,15665100.00
2014,Netherlands,Sudan,3154750.00,3154750.00
2014,Netherlands,Yemen,2717391.30,2717391.30
2014,Norway,Afghanistan,1340482.57,1340482.57
2014,Norway,CAR,4912846.42,4912846.42
2014,Norway,Colombia,483932.24,483932.24
2014,Norway,DRC,4640547.58,4640547.58
2014,Norway,Ethiopia,688136.53,688136.53
2014,Norway,South Sudan,11378493.04,11378493.04
2014,Norway,Sudan,9861419.40,9861419.40
2014,Norway,Turkey,2064409.58,2064409.58
2014,Qatar,Turkey,19999960.00,19999960.00
2014,Spain,Colombia,317525.00,317525.00
2014,Spain,oPt,317662.01,317662.01
2014,Spain,Syria,1169786.09,1169786.09
2014,Spain,Turkey,501336.90,501336.90
2014,Sweden,Afghanistan,11970399.60,11970399.60
2014,Sweden,CAR,3667250.15,3667250.15
2014,Sweden,Colombia,583000.04,583000.04
2014,Sweden,DRC,7933200.34,7933200.34
2014,Sweden,Ethiopia,3450492.92,3450492.92
2014,Sweden,Haiti,1457500.10,1457500.10
2014,Sweden,Jordan,660796.39,660796.39
2014,Sweden,Lebanon,660796.39,660796.39
2014,Sweden,Myanmar,728750.05,728750.05
2014,Sweden,oPt,2845150.14,2845150.14
2014,Sweden,Pakistan,8665802.83,8665802.83
2014,Sweden,Somalia,10660650.65,10660650.65
2014,Sweden,South Sudan,33224899.35,33224899.35
2014,Sweden,Sudan,10559499.61,10559499.61
2014,Sweden,Syria,1321592.78,1321592.78
2014,Sweden,Turkey,1982389.18,1982389.18
2014,Sweden,Yemen,4372500.30,4372500.30
2014,Switzerland,CAR,1614797.64,1614797.64
2014,Switzerland,Colombia,368421.00,368421.00
2014,Switzerland,Ethiopia,989010.99,989010.99
2014,Switzerland,oPt,2711434.72,2711434.72
2014,Switzerland,Somalia,2039941.04,2039941.04
2014,Switzerland,South Sudan,2049511.15,2049511.15
2014,Switzerland,Sudan,1087686.86,1087686.86
2014,Switzerland,Turkey,1828456.84,1828456.84
2014,Switzerland,Yemen,1013171.23,1013171.23
2014,United Kingdom,Afghanistan,25881600.00,25881600.00
2014,United Kingdom,CAR,1671681.71,1671681.71
2014,United Kingdom,DRC,30622300.00,30622300.00
2014,United Kingdom,Ethiopia,14598519.05,14598519.05
2014,United Kingdom,Haiti,1659000.00,1659000.00
2014,United Kingdom,Myanmar,1658503.40,1658503.40
2014,United Kingdom,Somalia,10975300.00,10975300.00
2014,United Kingdom,South Sudan,42510000.00,42510000.00
2014,United Kingdom,Sudan,22346951.73,22346951.73
2014,United Kingdom,Turkey,5329153.60,5329153.60
2014,United Kingdom,Yemen,7913520.18,7913520.18
2014,UNOCHA,Afghanistan,1087230.72,1087230.72
2015,Australia,Afghanistan,6143619.00,6143619.00
2015,Australia,Myanmar,1127385.05,1127385.05
2015,Australia,Somalia,3594500.00,3594500.00
2015,Australia,South Sudan,7396006.00,7396006.00
2015,Belgium,CAR,2180232.00,2180232.00
2015,Belgium,DRC,2725290.00,2725290.00
2015,Belgium,Jordan,5745097.47,5745097.47
2015,Belgium,Lebanon,6304381.58,6304381.58
2015,Belgium,oPt,2796420.58,2796420.58
2015,Belgium,South Sudan,2205832.00,2205832.00
2015,Belgium,Syria,6304381.58,6304381.58
2015,Belgium,Turkey,5558568.33,5558568.33
2015,Denmark,Afghanistan,3116235.59,3116235.59
2015,Denmark,CAR,1494985.30,1494985.30
2015,Denmark,Ethiopia,2928684.34,2928684.34
2015,Denmark,Lebanon,741179.96,741179.96
2015,Denmark,Somalia,6948397.58,6948397.58
2015,Denmark,South Sudan,2985306.32,2985306.32
2015,Denmark,Sudan,5271674.72,5271674.72
2015,Denmark,Yemen,3009905.62,3009905.62
2015,France,Turkey,552486.19,552486.19
