PooledFundId,PooledFundName,CHFId,CHFProjectCode,OrganizationName,OrganizationAcronym,OrganizationType,ProjectStatus,ClusterId,ClusterName,LocationBeneficiaryId,ActivityCode,StandardActivityID,GlobalStandardActivityID,GlobalClusterId
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6834,Protection - Child Protection,92269,Activity 1.1.1,,85,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92271,Activity 1.2.1,,72,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92270,Activity 1.1.1,,76,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6814,Health,92263,Activity 1.3.1,,47,7
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6814,Health,92279,Activity 1.2.1,,43,7
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6814,Health,92279,Activity 1.1.1,,41,7
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92271,Activity 1.1.1,,76,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92270,Activity 1.2.1,,72,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92269,Activity 1.2.1,,72,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92267,Activity 1.2.1,,72,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92266,Activity 1.2.1,,72,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92272,Activity 1.1.1,,76,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92275,Activity 1.1.1,,76,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92276,Activity 1.1.1,,76,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92264,Activity 1.2.1,,72,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92280,Activity 1.2.1,,72,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92280,Activity 1.1.1,,76,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92276,Activity 1.2.1,,72,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92264,Activity 1.1.1,,76,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92266,Activity 1.1.1,,76,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92267,Activity 1.1.1,,76,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6829,Protection,92269,Activity 1.1.1,,76,10
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6814,Health,92276,Activity 1.3.1,,47,7
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6814,Health,92278,Activity 1.3.1,,47,7
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6814,Health,92279,Activity 1.3.1,,47,7
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6814,Health,92263,Activity 1.2.1,,43,7
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6814,Health,92276,Activity 1.2.1,,43,7
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6814,Health,92278,Activity 1.2.1,,43,7
99,Bangladesh (AP-RHPF),39295,CBPF-BGD-26-R-INGO-NSFT-39295,International Rescue Committee,IRC,International NGO,Implementation & Reporting,6814,Health,92263,Activity 1.1.1,,41,7
