PooledFundName,PooledFundId,FiscalYear,DonorName,DonorCode,GMSDonorId,GMSDonorName,ContributionAmt,ContributionPercent
Sudan,15,2022,Government of Germany,7,11,Germany,17026163.50,1.01000
South Sudan,19,2016,Government of Netherlands,11,16,Netherlands,6795600.00,0.55000
Sudan,15,2015,Government of Switzerland,16,24,Switzerland,1047778.71,0.06000
Myanmar,59,2024,Government of Switzerland,16,24,Switzerland,1199156.50,0.29000
Afghanistan,23,2025,Government of Switzerland,16,24,Switzerland,4110679.66,0.35000
oPt,67,2017,Iceland,55,55,Iceland,150000.00,0.03000
oPt,67,2020,Sida,20,22,Sweden,3271600.80,0.66000
oPt,67,2023,Iceland,55,55,Iceland,221222.62,0.04000
Lebanon,71,2023,Government of Denmark,5,8,Denmark,2927090.27,0.92000
Iraq,72,2017,Government of Netherlands,11,16,Netherlands,6538102.38,1.73000
Iraq,72,2019,Government of Canada,119,7,Canada,377210.45,0.10000
Ukraine,81,2023,Government of Spain,15,21,Spain,1275239.11,0.11000
CAR,17,2020,Government of Luxembourg,10,15,Luxembourg,414332.80,0.11000
Yemen,64,2019,Government of the United Kingdom (Former DFID),19,9,United Kingdom,59831417.44,4.81000
Syria Cross border,70,2019,Government of Denmark,5,8,Denmark,3744245.99,0.33000
Ukraine,81,2024,Estonia,49,49,Estonia,104931.79,0.01000
Burkina Faso (RhPF-WCA),85,2024,Government of Canada,119,7,Canada,726846.32,0.77000
Ethiopia,53,2010,Government of Netherlands,11,16,Netherlands,9790210.00,0.87000
Somalia,21,2010,Government of Italy,9,14,Italy,2618000.00,0.30000
DRC,24,2016,Government of the United Kingdom (Former DFID),19,9,United Kingdom,20214340.00,1.33000
South Sudan,19,2021,Swiss Agency for Development and Cooperation,22,24,Switzerland,2167738.93,0.17000
Myanmar,59,2025,Government of Italy,9,14,Italy,1172332.94,0.29000
Myanmar,59,2026,New Zealand,80,80,New Zealand,3419017.50,0.83000
Yemen,64,2024,Government of Denmark,5,8,Denmark,5393383.42,0.43000
Venezuela,83,2024,Government of Spain,15,21,Spain,1662971.18,2.13000
Ethiopia,53,2026,Government of Denmark,5,8,Denmark,3143022.29,0.28000
Syria Cross border,70,2020,Government of Canada,119,7,Canada,2612314.49,0.23000
Syria Cross border,70,2020,Sida,20,22,Sweden,9665771.05,0.84000
El Salvador (RhPF-LAC),509,2026,United States,102,102,United States,25000000.00,100.00000
Syria,62,2022,Government of the United Kingdom (Former DFID),19,9,United Kingdom,3602395.18,0.47000
South Sudan,19,2024,Government of Norway,12,17,Norway,1885158.28,0.15000
Ukraine,81,2024,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),1484817.13,0.13000
oPt,67,2010,Government of the United Kingdom (Former DFID),19,9,United Kingdom,1600000.00,0.32000
oPt,67,2023,Government of France,50,50,France,272628.14,0.05000
Syria Cross border,70,2023,Government of France,50,50,France,11839685.42,1.03000
Lebanon,71,2021,Sida,20,22,Sweden,1724107.69,0.54000
Jordan,73,2015,Sida,20,22,Sweden,1713153.06,2.62000
Jordan,73,2018,IRISH AID,23,13,Ireland,1851851.85,2.84000
DRC,24,2023,Government of Belgium,4,6,Belgium,10248112.19,0.68000
Burkina Faso (RhPF-WCA),85,2022,Government of Netherlands,11,16,Netherlands,6696428.57,7.11000
Ethiopia,53,2022,Government of the United Kingdom (Former DFID),19,9,United Kingdom,9451978.14,0.84000
Ethiopia,53,2019,Government of Denmark,5,8,Denmark,4143635.32,0.37000
Ethiopia,53,2024,Government of Norway,12,17,Norway,2022272.65,0.18000
South Sudan,19,2012,Government of Denmark,5,8,Denmark,5123825.79,0.41000
Pakistan,60,2017,Sida,20,22,Sweden,4484759.94,4.21000
oPt,67,2022,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),7393.67,0.00000
Lebanon,71,2021,Government of Germany,7,11,Germany,8067710.15,2.54000
Iraq,72,2017,Government of the United Kingdom (Former DFID),19,9,United Kingdom,21222168.41,5.61000
Nigeria,75,2020,Government of Luxembourg,10,15,Luxembourg,411764.71,0.11000
Nigeria,75,2024,Government of Canada,119,7,Canada,1453692.65,0.38000
Burkina Faso (RhPF-WCA),85,2026,Government of Denmark,5,8,Denmark,1046838.10,1.11000
DRC,24,2021,Government of Morocco,997,78,Morocco,25000.00,0.00000
Haiti,54,2010,Kazakhstan,61,61,Kazakhstan,99959.00,0.11000
Myanmar,59,2017,Government of Switzerland,16,24,Switzerland,205761.32,0.05000
Myanmar,59,2019,Government of Canada,119,7,Canada,743658.08,0.18000
Pakistan,60,2019,Government of Canada,119,7,Canada,453733.55,0.43000
Yemen,64,2026,Jersey,120,120,Jersey,276679.84,0.02000
