PooledFundName,PooledFundId,FiscalYear,DonorName,DonorCode,GMSDonorId,GMSDonorName,ContributionAmt,ContributionPercent
Sudan,15,2026,Isle of Man,1037,206,Isle of Man,467646.70,0.18000
Syria,62,2026,United States,102,102,United States,150000000.00,78.40000
DRC,24,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),20745.99,0.01000
Haiti (RhPF-LAC),88,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),1363.61,0.00000
Syria,62,2026,Government of Poland,13,18,Poland,974817.22,0.51000
Venezuela,83,2026,Government of Spain,15,21,Spain,1405152.22,11.39000
Asia Pacific Regional Envelope (RHPF-AP),501,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),237.35,0.01000
Afghanistan,23,2026,Sida,20,22,Sweden,2985662.75,9.47000
Mali (RhPF-WCA),86,2026,Government of Belgium,4,6,Belgium,3512880.56,36.56000
South Pacific Envelope (RHPF-AP),507,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,254525.75,10.85000
Ethiopia,53,2026,Government of Finland,6,10,Finland,5767012.69,4.77000
oPt,67,2026,PRIVATE SECTOR,17,19,PRIVATE SECTOR,115352.70,0.31000
oPt,67,2026,Catalan Agency for Development Cooperation,1016,185,Catalan Agency for Development Cooperation,232558.14,0.63000
Burkina Faso (RhPF-WCA),85,2026,Government of Germany,7,11,Germany,2378121.28,22.27000
Afghanistan,23,2026,Government of Luxembourg,10,15,Luxembourg,343642.61,1.09000
Ukraine,81,2026,Catalan Agency for Development Cooperation,1016,185,Catalan Agency for Development Cooperation,914285.71,0.43000
Ukraine,81,2026,Lithuania,67,67,Lithuania,233918.13,0.11000
oPt,67,2026,Government of Spain,15,21,Spain,1170960.19,3.15000
Mozambique (RhPF),89,2026,Kyrgyzstan,1039,,,50000.00,0.06000
South Pacific Envelope (RHPF-AP),507,2026,Government of Australia,2,3,Australia,2090723.85,89.15000
Sudan,15,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,13458950.20,5.13000
Syria,62,2026,Government of Denmark,5,8,Denmark,9428844.60,4.93000
Lebanon,71,2026,Government of Switzerland,16,24,Switzerland,3012483.00,10.16000
Sudan,15,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),243352.10,0.09000
Ethiopia,53,2026,Government of Norway,12,17,Norway,1626325.16,1.34000
Burkina Faso (RhPF-WCA),85,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),821.24,0.01000
DRC,24,2026,Government of Belgium,4,6,Belgium,9953161.59,2.49000
Myanmar,59,2026,IRISH AID,23,13,Ireland,1756440.28,1.04000
Somalia,21,2026,Kuwait,64,64,Kuwait,1250000.00,4.75000
Mali (RhPF-WCA),86,2026,Government of Canada,119,7,Canada,365578.05,3.80000
South Sudan,19,2026,Government of Luxembourg,10,15,Luxembourg,286368.84,0.17000
Ukraine,81,2026,United States,102,102,United States,155000000.00,72.61000
Lebanon,71,2026,Government of Australia,2,3,Australia,4106492.70,13.85000
CAR,17,2026,Japan,60,60,Japan,40000.00,0.39000
Ukraine,81,2026,Government of Switzerland,16,24,Switzerland,3397508.49,1.59000
Lebanon,71,2026,Croatia,1038,156,Croatia,116279.07,0.39000
Somalia,21,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),105326.60,0.40000
oPt,67,2026,Government of Finland,6,10,Finland,5767012.69,15.53000
Sudan,15,2026,Government of Switzerland,16,24,Switzerland,5063291.14,1.93000
Ethiopia,53,2026,United States,102,102,United States,100000000.00,82.69000
Nigeria,75,2026,Government of Canada,119,7,Canada,910151.94,0.68000
