PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate,PaidAmt,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PledgeAmtLocal,PaidAmtLocal,IsTransfer
23,Afghanistan,AFG23,ERF/AHF/77584/84476/2025,2026,Government of Canada,119,7,Canada,CA,5/1/2025 12:00:00 AM,974025.97,3/19/2025 12:00:00 AM,7/14/2026 12:00:00 AM,956848.88,1/1/0001 12:00:00 AM,CAD,1.44,CAD,1.41,1350000,1350113.77,0
23,Afghanistan,AFG23,ERF/AHF/77800/85060/2025,2026,Government of Luxembourg,10,15,Luxembourg,LU,12/11/2025 12:00:00 AM,347624.57,11/3/2025 12:00:00 AM,4/13/2026 12:00:00 AM,343642.61,1/1/0001 12:00:00 AM,EUR,0.86,EUR,0.87,300000,300000,0
23,Afghanistan,AFG23,ERF/AHF/78219/85788/2026,2026,Kuwait,64,64,Kuwait,KW,8/6/2026 12:00:00 AM,1250000,7/8/2026 12:00:00 AM,9/10/2026 12:00:00 AM,1250000,1/1/0001 12:00:00 AM,USD,1,USD,1,1250000,1250000,0
23,Afghanistan,AFG23,ERF/AHF/78024/85400/2026,2026,IRISH AID,23,13,Ireland,IE,3/16/2026 12:00:00 AM,3460207.61,3/3/2026 12:00:00 AM,4/14/2026 12:00:00 AM,3436426.12,1/1/0001 12:00:00 AM,EUR,0.85,EUR,0.87,3000000,3000000,0
23,Afghanistan,AFG23,ERF/AHF/78082/85551/2026,2026,Government of Norway,12,17,Norway,NO,5/13/2026 12:00:00 AM,1613423.69,4/15/2026 12:00:00 AM,5/22/2026 12:00:00 AM,1626325.16,1/1/0001 12:00:00 AM,NOK,9.48,NOK,9.22,15000000,14999596.96,0
23,Afghanistan,AFG23,ERF/AHF/78112/85594/2026,2026,UN Foundation/UN Partnership Office,131,132,Private donations (through UNF),UNF,1/20/2026 12:00:00 AM,19055.18,4/24/2026 12:00:00 AM,5/28/2026 12:00:00 AM,19055.18,1/1/0001 12:00:00 AM,USD,1,USD,1,19055.18,19055.18,0
23,Afghanistan,AFG23,ERF/AHF/78212/85761/2026,2026,Government of Netherlands,11,16,Netherlands,NL,7/13/2026 12:00:00 AM,5714285.71,7/2/2026 12:00:00 AM,7/16/2026 12:00:00 AM,5714285.72,1/1/0001 12:00:00 AM,EUR,0.88,EUR,0.88,5000000,5000000,0
23,Afghanistan,AFG23,ERF/AHF/78276/85869/2026,2026,Sida,20,22,Sweden,SE,9/11/2026 12:00:00 AM,1050309.84,9/11/2026 12:00:00 AM,1/1/0001 12:00:00 AM,0,1/1/0001 12:00:00 AM,SEK,9.52,SEK,0,10000000,0,0
23,Afghanistan,AFG23,ERF/AHF/75585/81855/2023,2026,Government of Switzerland,16,24,Switzerland,CH,5/25/2023 12:00:00 AM,1675977.65,5/22/2023 12:00:00 AM,2/16/2026 12:00:00 AM,1953125,1/1/0001 12:00:00 AM,CHF,0.9,CHF,0.77,1500000,1500000,0
23,Afghanistan,AFG23,ERF/AHF/78092/85573/2026,2026,Government of Denmark,5,8,Denmark,DK,3/23/2026 12:00:00 AM,5401234.57,3/19/2026 12:00:00 AM,4/16/2026 12:00:00 AM,5489646.68,1/1/0001 12:00:00 AM,DKK,6.48,DKK,6.38,35000000,35001987.23,0
23,Afghanistan,AFG23,ERF/AHF/77981/85222/2026,2026,Sida,20,22,Sweden,SE,3/16/2026 12:00:00 AM,3007841.87,2/2/2026 12:00:00 AM,3/30/2026 12:00:00 AM,2985662.75,1/1/0001 12:00:00 AM,SEK,8.81,SEK,9.38,28000000,27999545.3,0
23,Afghanistan,AFG23,ERF/AHF/78084/85565/2026,2026,Iceland,55,55,Iceland,IS,4/17/2026 12:00:00 AM,409131.82,4/16/2026 12:00:00 AM,5/5/2026 12:00:00 AM,402037.85,1/1/0001 12:00:00 AM,ISK,122.21,ISK,124.37,50000000,49999839.25,0
