PooledFundName,AllocationYear,GenderMarkerGroup,GenderMarkerCode,TotalProjects,TotalBeneficiary,TotalBudget,PooledFundId
Afghanistan,2015,GM,1,31,874373,20195478.16,23
Afghanistan,2015,GM,2a,25,1810877,14207642.13,23
Afghanistan,2015,GM,4,2,2080,3357883.78,23
Afghanistan,2016,GM,1,42,1413046,24412143.49,23
Afghanistan,2016,GM,2a,18,1410155,11582083.28,23
Afghanistan,2016,GM,2b,5,160800,1833019.33,23
Afghanistan,2016,GM,4,2,76520,1926964.39,23
Afghanistan,2017,GM,1,24,2549260,23167031.33,23
Afghanistan,2017,GM,2a,24,2489395,17660800.66,23
Afghanistan,2017,GM,2b,1,49218,979758.29,23
Afghanistan,2017,GM,4,2,103000,3079028.44,23
Afghanistan,2018,GM,1,44,2312845,31412517.26,23
Afghanistan,2018,GM,2a,38,1186133,29818602.49,23
Afghanistan,2018,GM,2b,1,52260,553650.19,23
Afghanistan,2018,GM,4,1,113400,800000,23
Afghanistan,2019,GAM,3,20,501304,17400484.39,23
Afghanistan,2019,GAM,4,4,67560,3170450.46,23
Afghanistan,2019,GAM,2,5,141466,7775631.21,23
Afghanistan,2019,GM,1,2,672299,10181756.86,23
CAR,2015,GM,1,9,299501,4480470.83,17
CAR,2015,GM,2a,48,777278,17351426.79,17
CAR,2015,GM,2b,9,110287,3383667.61,17
CAR,2016,GM,1,2,21383,389999.71,17
CAR,2016,GM,2a,66,4038875,22067884.7,17
CAR,2016,GM,4,1,33,200000,17
CAR,2017,GM,1,5,249326,1901164.95,17
CAR,2017,GM,2a,52,771280,17748873.94,17
CAR,2017,GM,2b,3,37577,949836.15,17
CAR,2017,GM,4,3,1260,1544113.77,17
CAR,2018,GM,1,7,38601,1775950.23,17
CAR,2018,GM,2a,59,2013893,20485266.5,17
CAR,2018,GM,2b,12,312858,3467637.21,17
CAR,2018,GM,4,6,117,2663966.04,17
CAR,2019,GAM,0,3,231,1700335.06,17
CAR,2019,GAM,3,14,222749,5297804.55,17
CAR,2019,GAM,4,45,1385996,13809798.27,17
CAR,2019,GAM,2,6,178733,2959063.23,17
Colombia,2015,GM,2a,6,10091,1371811.72,52
Colombia,2016,GM,2a,11,12769,1993305.59,52
Colombia,2016,GM,2b,1,800,130000,52
Colombia,2017,GM,2a,7,11879,1017618.17,52
Colombia,2017,GM,2b,1,3200,150000,52
DRC,2015,GM,0,1,0,2800000,24
DRC,2015,GM,1,7,430987,2270705.1,24
DRC,2015,GM,2a,49,2531579,23207452.22,24
DRC,2015,GM,2b,5,135596,1473826.99,24
DRC,2015,GM,4,1,2000,244459,24
DRC,2016,GM,0,1,2,429982.41,24
DRC,2016,GM,1,6,147929,4744001.06,24
DRC,2016,GM,2a,52,2207743,42250165.37,24
DRC,2016,GM,2b,3,109541,2608079.78,24
DRC,2016,GM,3,1,5,755659.75,24
DRC,2016,GM,4,5,29164,7081651.22,24
DRC,2017,GM,0,1,1200,600002.87,24
DRC,2017,GM,1,3,62301,2564074.33,24
DRC,2017,GM,2a,34,998372,28830394.98,24
DRC,2017,GM,2b,3,170312,2159430.96,24
DRC,2017,GM,4,2,415,1674524.49,24
DRC,2018,GM,0,2,635,471272.87,24
DRC,2018,GM,1,19,431133,11039590.82,24
DRC,2018,GM,2a,86,2058083,48365099.43,24
DRC,2018,GM,2b,17,367763,7653004.42,24
DRC,2018,GM,4,1,23,349999.5,24
DRC,2019,GAM,0,4,6183,1164711.92,24
DRC,2019,GAM,3,19,569569,14487474.27,24
DRC,2019,GAM,4,51,2139858,44789930.66,24
DRC,2019,GAM,2,5,75736,3199304.06,24
Ethiopia,2015,GM,1,1,20685,447792.95,53
Ethiopia,2015,GM,2a,53,7586169,28765775.18,53
Ethiopia,2015,GM,2b,2,22105,556124.94,53
Ethiopia,2016,GM,0,1,10200000,1504888.55,53
