PooledfundId,PooledFundName,AllocationSourceId,AllocationYear,ChfProjectCode,PlannedMen,PlannedWomen,PlannedBoys,PlannedGirls,PlannedTotal,ActualMen,ActualWomen,ActualBoys,ActualGirls,ActualTotal
23,Afghanistan,2,2014,AFG-14/S1/CCS/UN/213,75,0,0,0,75,75,0,0,0,75
23,Afghanistan,2,2014,AFG-14/S1/N/UN/223,380,80300,71352,68554,220586,2027,117506,37335,35871,192739
23,Afghanistan,2,2014,AFG-14/S1/H/INGO/225,21618,3081,10660,4790,40149,21484,3210,18201,5310,48205
23,Afghanistan,2,2014,AFG-14/S1/N/INGO/231,181,130,0,0,311,232,88,0,0,320
23,Afghanistan,2,2014,AFG-14/S1/N/INGO/234,210,36042,12560,12561,61373,639,46227,53232,52397,152495
23,Afghanistan,2,2014,AFG-14/S1/H/INGO/235,8555,8146,2005,2005,20711,9789,6765,1780,987,19321
23,Afghanistan,2,2014,AFG-14/S1/H/UN/236,160759,166477,41450,43141,411827,164343,170195,42359,44086,420983
23,Afghanistan,2,2014,AFG-14/S1/N/INGO/238,428,1401,2014,2014,5857,431,2125,1881,1887,6324
23,Afghanistan,2,2014,AFG-14/S1/N/INGO/240,342,9918,13193,13193,36646,336,20436,12623,17257,50652
23,Afghanistan,2,2014,AFG-14/S1/H/INGO/243,9693,1770,553,594,12610,35397,8667,3538,3067,50669
23,Afghanistan,2,2014,AFG-14/S1/N/INGO/247,20,6400,4674,4674,15768,26,16055,1346,1758,19185
23,Afghanistan,2,2014,AFG-14/S1/N/NGO/248,344,4063,6799,6799,18005,344,5230,9626,10869,26069
23,Afghanistan,2,2014,AFG-14/S1/H/INGO/250,17825,17125,17541,16853,69344,14473,30174,17370,36880,98897
23,Afghanistan,2,2014,AFG-14/S1/N/INGO/251,412,700,704,639,2455,442,279,1120,1108,2949
23,Afghanistan,2,2014,AFG-14/S1/H/UN/252,80,260178,0,0,260258,78,240070,0,0,240148
23,Afghanistan,2,2014,AFG-14/S1/H/NGO/254,12265,6285,998,998,20546,6011,2600,3009,2249,13869
23,Afghanistan,2,2014,AFG-14/SA2/N/INGO/264,102,8676,4974,5387,19139,10369,12011,9810,10545,42735
23,Afghanistan,2,2014,AFG-14/SA2/CCS/UN/269,2500,2500,0,0,5000,2456,2456,0,0,4912
23,Afghanistan,2,2014,AFG-14/SA2/N/UN/272,0,0,50380,48405,98785,0,0,53932,51817,105749
23,Afghanistan,2,2014,AFG-14/SA2/N/INGO/275,97699,97559,22843,22843,240944,129252,131559,25612,25612,312035
23,Afghanistan,2,2014,AFG-14/SA2/N/NGO/284,527,3238,14626,16905,35296,513,3431,15166,16365,35475
23,Afghanistan,2,2014,AFG-14/SA2/N/UN/287,86,4856,8538,8202,21682,105,4334,7522,7445,19406
23,Afghanistan,1,2014,AFG-14/ER/H/UN/288,12006,12497,3001,3124,30628,10878,11322,2719,2831,27750
23,Afghanistan,1,2014,AFG-14/ER/H/NGO/289,3144,3096,3438,3290,12968,4099,4324,4125,4010,16558
23,Afghanistan,1,2014,AFG-14/ER/H/INGO/291,4290,5712,2076,1770,13848,4285,6141,2180,1903,14509
23,Afghanistan,1,2014,AFG-14/ER/H/INGO/292,3794,3794,871,871,9330,2307,3281,1073,994,7655
23,Afghanistan,1,2014,AFG-14/ER/NFI/INGO/294,377,468,404,527,1776,306,380,328,429,1443
23,Afghanistan,1,2014,AFG-14/ER/NFI/INGO/296,5307,5307,3538,3538,17690,5307,5307,3538,3538,17690
23,Afghanistan,1,2014,AFG-14/ER/CCS/UN/298,1250,1250,0,0,2500,1011,1010,0,0,2021
23,Afghanistan,1,2014,AFG-14/ER/MS/INGO/301,7016,7016,12473,12473,38978,11383,11383,29674,29674,82114
