AllocationYear,Cluster,BeneficiariesActualTotal,BeneficiariesPlannedTotal,Budgetbycluster,AllocationSourceName
2014,Coordination and Support Services,2021,2500,1000000.02,Reserve
2014,Health,14509,13848,53393,Reserve
2014,Health,7655,9330,50000.03,Reserve
2014,Health,16558,12968,66943.48,Reserve
2014,Health,27750,30628,165951.66,Reserve
2014,Multi-Sector,82114,38978,499999.88,Reserve
2014,Multi-Sector,12701,12800,300935.65,Reserve
2014,Multi-Sector,163920,94500,1299997.87,Reserve
2014,Multi-Sector,176253,70000,1700000.02,Reserve
2014,Multi-Sector,5855,4860,199983,Reserve
2014,Emergency Shelter and NFI,1443,1776,85407.4,Reserve
2014,Emergency Shelter and NFI,17690,17690,560948.22,Reserve
2014,Coordination and Support Services,75,75,1535993.56,Standard
2014,Health,48205,40149,1510044.04,Standard
2014,Health,19321,20711,751365.13,Standard
2014,Health,50669,12610,862829.81,Standard
2014,Health,98897,69344,575053.67,Standard
2014,Health,13869,20546,814842.45,Standard
2014,Health,420983,411827,3713951.27,Standard
2014,Health,240148,260258,395589.7,Standard
2014,Nutrition,320,311,876510.73,Standard
2014,Nutrition,152495,61373,574336.15,Standard
2014,Nutrition,6324,5857,311487.53,Standard
2014,Nutrition,50652,36646,435260.7,Standard
2014,Nutrition,19185,15768,526145,Standard
2014,Nutrition,2949,2455,456600.01,Standard
2014,Nutrition,26069,18005,462213.25,Standard
2014,Nutrition,192739,220586,5330878.63,Standard
2014,Coordination and Support Services,4912,5000,3000000,Standard
2014,Nutrition,42735,19139,639082.05,Standard
2014,Nutrition,312035,240944,424097.87,Standard
2014,Nutrition,35475,35296,439856.7,Standard
2014,Nutrition,105749,98785,4505680.57,Standard
2014,Nutrition,19406,21682,644606.52,Standard
2015,Emergency Shelter and NFI,7515,6300,193419.06,Reserve
2015,Coordination and Support Services,8298,2000,1746042.2,Reserve
2015,Emergency Shelter and NFI,4707,6964,437380.96,Reserve
2015,Emergency Shelter and NFI,14975,14975,665367.94,Reserve
2015,Emergency Shelter and NFI,9878,8890,326901.76,Reserve
2015,Emergency Shelter and NFI,6664,10038,251741.53,Reserve
2015,Emergency Shelter and NFI,6311,6154,344896.31,Reserve
2015,Emergency Shelter and NFI,1757,2198,164136.93,Reserve
