PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,AdmLocBenReachedClustAgg1,AdmLocBenReachedClustAgg2,AdmLocBenReachedClustAgg3,AdmLocBenReachedClustAgg4,AdmLocBenReachedClustAgg5,AdmLocBenReachedClustAgg6
15,CBPF-SUD-25-R-INGO-35060,7,100.00,69##70##,Khartoum,Khartoum,,,,,5396##7936##18031##16737,5396##7936##18031##16737,,,,,"15.56666700,32.51666700","15.57252700,32.53635300",,,,,4000000.00,4000000.00,,,,,2025,4967##7305##16597##15406,4631##6811##15475##14365,,,,
15,CBPF-SUD-25-R-INGO-35589,4,100.00,69##70##,North Darfur,Tawilla,,,,,6864##8184##5016##6336,6864##8184##5016##6336,,,,,"15.76619690,24.90422080","13.51573400,24.86525500",,,,,1500000.00,1500000.00,,,,,2025,6058##7223##4427##5592,6905##8233##5046##6374,,,,
15,CBPF-SUD-25-R-INGO-35591,7|||11,50.00|||50.00,69##70##,Gedaref,El Fashaga,,,,,0##0##0##0|||687##715##1029##1071,0##0##0##0|||687##715##1029##1071,,,,,"14.03333300,35.38333300","14.39727900,35.86442300",,,,,0.00|||140000.00,0.00|||140000.00,,,,,2025,0##0##0##0|||674##701##1009##1050,0##0##0##0|||674##702##1010##1051,,,,
15,CBPF-SUD-25-R-INGO-35591,7|||11,50.00|||50.00,69##70##,Gedaref,El Faw,,,,,1919##2835##757##971|||687##715##1029##1071,1919##2835##757##971|||687##715##1029##1071,,,,,"14.03333300,35.38333300","14.15000000,34.33333300",,,,,280000.00|||140000.00,280000.00|||140000.00,,,,,2025,1608##2376##634##814|||576##599##862##898,1880##2778##742##951|||673##701##1008##1049,,,,
15,CBPF-SUD-25-R-INGO-35591,7|||11,50.00|||50.00,69##70##,Gedaref,EL Rahad,,,,,1918##2833##758##969|||687##715##1029##1071,1918##2833##758##969|||687##715##1029##1071,,,,,"14.03333300,35.38333300","13.43111600,34.62863800",,,,,280000.00|||140000.00,280000.00|||140000.00,,,,,2025,1852##2736##732##936|||663##690##994##1034,1945##2873##769##983|||697##725##1043##1086,,,,
15,CBPF-SUD-25-R-INGO-35591,7|||11,50.00|||50.00,69##70##,Gedaref,Middle Gedaref,,,,,0##0##0##0|||683##711##1029##1071,0##0##0##0|||683##711##1029##1071,,,,,"14.03333300,35.38333300","14.04793100,35.38835000",,,,,0.00|||140000.00,0.00|||140000.00,,,,,2025,0##0##0##0|||548##570##826##859,0##0##0##0|||564##587##850##885,,,,
15,CBPF-SUD-25-R-INGO-35607,4,100.00,69##70##,Central Darfur,Golo (Central Jebel Marra),,,,,8424##8856##12960##12960,8424##8856##12960##12960,,,,,"12.33330000,23.41670000","13.12847000,24.28137000",,,,,800000.00,800000.00,,,,,2025,7675##8069##11808##11808,8571##9011##13186##13186,,,,
15,CBPF-SUD-25-R-INGO-35607,4,100.00,69##70##,Central Darfur,Nertiti (West Jebel Marra),,,,,2106##2214##3240##3240,2106##2214##3240##3240,,,,,"12.33330000,23.41670000","12.96680000,24.03358000",,,,,200000.00,200000.00,,,,,2025,2122##2231##3265##3265,1982##2083##3049##3049,,,,
15,CBPF-SUD-25-R-INGO-35608,4,100.00,69##70##,North Darfur,Tawilla,,,,,1165##2912##1249##2996,1165##2912##1249##2996,,,,,"15.76619690,24.90422080","13.51573400,24.86525500",,,,,499999.98,499999.98,,,,,2025,1059##2646##1135##2723,1137##2841##1219##2923,,,,
15,CBPF-SUD-25-R-INGO-35609,7,100.00,69##70##,White Nile,El Jabaleen,,,,,11148##11603##4777##4974,11148##11603##4777##4974,,,,,"13.24038810,32.53727410","12.58930800,32.80071200",,,,,425000.00,425000.00,,,,,2025,10044##10454##4304##4481,9848##10250##4220##4394,,,,
