PFId,AllNm,PrjCode,OPSCodeAgg,EmgAgg,AllYr,AllSrc,OrgNm,OrgTypeId,PrjTitle,AStrDt,AEndDt,PrjDur,PrgBdg,BgdDC,BdgSC,PrjSubDt,BenAgg,PrjGM,PrjStsNm,PrjStsId,PrjStsCode,PartCode,ApprDt
15,Scale up and expand multisectoral assistance in hyper-prioritised locations,CBPF-SUD-26-R-INGO-NSFT-39201,,,2026,1,International NGO,2,"Life-saving multi-purpose cash assistance in 9 hyper-prioritized IPC 4/5 localities in North Darfur, White Nile, North Kordofan and South Kordofan",3/20/2026 12:00:00 AM,9/19/2026 12:00:00 AM,6 Months,5000000,4672897,0,3/5/2026 12:53:25 PM,6996##24488##14000##24516,"4- Likely to contribute to gender equality, including across age groups",HC Final Approval,5355,PRJ_UND_GA_PREPAR,310169.2160,1/1/0001 12:00:00 AM
15,Scale up and expand multisectoral assistance in hyper-prioritised locations,CBPF-SUD-26-R-INGO-NSFT-39202,,,2026,1,International NGO,2,"Integrated Multi-Sectoral Emergency Response for IDPs and Host Communities in Tawila, Al Twisha, and Al Lait, North Darfur",3/15/2026 12:00:00 AM,9/14/2026 12:00:00 AM,6 Months,2500000,2336449,0,3/5/2026 1:11:50 PM,5990##6810##9350##7850,"4- Likely to contribute to gender equality, including across age groups",HC Final Approval,5355,PRJ_UND_GA_PREPAR,313650.7072,1/1/0001 12:00:00 AM
15,Scale up and expand multisectoral assistance in hyper-prioritised locations,CBPF-SUD-26-R-INGO-NSFT-39204,,,2026,1,International NGO,2,Scale-Up of Multi-Purpose Cash Assistance and Group Cash Transfers to Address Acute Multisectoral Needs in Hyper-Prioritized Locations of Sudan ,4/1/2026 12:00:00 AM,9/30/2026 12:00:00 AM,6 Months,3000000,2803738,0,3/5/2026 2:41:45 PM,8520##9860##11330##11258,"4- Likely to contribute to gender equality, including across age groups",HC Final Approval,5355,PRJ_UND_GA_PREPAR,313255.0832,1/1/0001 12:00:00 AM
15,Scale up and expand multisectoral assistance in hyper-prioritised locations,CBPF-SUD-26-R-INGO-NSFT-39206,,,2026,1,International NGO,2,"MPCA assistance in hyper-prioritised localities  inter-sectoral severity localities in North Darfur, Khartoum, Northern State, and AJ Jazirah in Sudan. ",3/15/2026 12:00:00 AM,9/14/2026 12:00:00 AM,6 Months,7000000,6542056,0,3/5/2026 1:28:03 PM,12972##13524##14076##14628,"4- Likely to contribute to gender equality, including across age groups",Technical Review,5351,PRJ_BUDGET_CLR,303364.4832,1/1/0001 12:00:00 AM
15,Scale up and expand multisectoral assistance in hyper-prioritised locations,CBPF-SUD-26-R-INGO-NSFT-39209,,,2026,1,International NGO,2,Scaleup  &amp; expansion of Multi sectoral life saving assistance in hyper-prioritized locations of Sudan,3/1/2026 12:00:00 AM,8/31/2026 12:00:00 AM,6 Months,6000001,5607477,0,3/5/2026 12:32:38 PM,20692##27342##12562##13312,"4- Likely to contribute to gender equality, including across age groups",Technical Review,5343,PRJ_TR_DRFT,298933.4944,1/1/0001 12:00:00 AM
15,Scale up and expand multisectoral assistance in hyper-prioritised locations,CBPF-SUD-26-R-INGO-NSFT-39210,,,2026,1,International NGO,2,Safe and Dignified Cash-Based Assistance to Crisis-Affected Populations in Sudan's Darfur and Kordofan  ,3/1/2026 12:00:00 AM,8/31/2026 12:00:00 AM,6 Months,3000000,2803738,0,3/5/2026 1:19:57 PM,8210##9574##4924##4652,2- Unlikely to contribute to gender equality (no gender equality measure but includes age consideration),Technical Review,5351,PRJ_BUDGET_CLR,299408.2432,1/1/0001 12:00:00 AM
15,Scale up and expand multisectoral assistance in hyper-prioritised locations,CBPF-SUD-26-R-INGO-NSFT-39211,,,2026,1,International NGO,2,SHF Scale up  - DRC: Integrated Mine Action Response in Hyper-Prioritized Conflict-Affected Areas 2026,3/1/2026 12:00:00 AM,8/31/2026 12:00:00 AM,6 Months,2500000,2336449,0,3/5/2026 2:12:44 PM,16399##16537##18633##18214,"4- Likely to contribute to gender equality, including across age groups",Technical Review,5342,PRJ_UND_TR_HFU,306054.7264,1/1/0001 12:00:00 AM
15,Scale up and expand multisectoral assistance in hyper-prioritised locations,CBPF-SUD-26-R-INGO-NSFT-39215,,,2026,1,International NGO,2,Multi-sectoral cash Assistance for conflict affected Populations in Khartoum and Blue Nile (MAP),4/1/2026 12:00:00 AM,9/30/2026 12:00:00 AM,6 Months,3000000,2803738,0,3/5/2026 12:48:59 PM,6098##9906##11048##11048,"4- Likely to contribute to gender equality, including across age groups",HC Final Approval,5355,PRJ_UND_GA_PREPAR,297983.9968,1/1/0001 12:00:00 AM
15,Scale up and expand multisectoral assistance in hyper-prioritised locations,CBPF-SUD-26-R-INGO-NSFT-39216,,,2026,1,International NGO,2,Emergency Pipeline Support in Sudan ,4/1/2026 12:00:00 AM,9/30/2026 12:00:00 AM,6 Months,2.5E+07,2.336449E+07,0,3/5/2026 2:11:27 PM,95542##220360##215244##224036,"4- Likely to contribute to gender equality, including across age groups",Technical Review,5342,PRJ_UND_TR_HFU,299329.1184,1/1/0001 12:00:00 AM
15,Scale up and expand multisectoral assistance in hyper-prioritised locations,CBPF-SUD-26-R-INGO-NSFT-39219,,,2026,1,International NGO,2,Multisectoral cash-based assistance response in Darfurs and Kordofans,3/11/2026 12:00:00 AM,9/10/2026 12:00:00 AM,6 Months,6000000,5607477,0,3/4/2026 4:02:45 PM,24373##26406##23357##27420,2- Unlikely to contribute to gender equality (no gender equality measure but includes age consideration),HC Final Approval,5355,PRJ_UND_GA_PREPAR,307953.7216,1/1/0001 12:00:00 AM
