PooledFundId,AllocationSourceId,AllocationYear,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLocation1Budget
1,1,2014,Badakhshan,36.7347725,70.8119953,140367.0708
1,1,2014,Badghis,35.1671339,63.7695384,40000.0008
1,1,2014,Baghlan,35.8042947,69.2877535,80485.3404
1,1,2014,Balkh,36.8909158,67.1894488,152189.6448
1,1,2014,Bamyan,34.9073296,67.1894488,192975.8322
1,1,2014,Daykundi,33.669495,66.0463534,90000.0308
1,1,2014,Faryab,36.0795613,64.905955,197065.5024
1,1,2014,Ghazni,33.55,68.416667,40000.0008
1,1,2014,Ghor,34.0995776,64.905955,136943.4814
1,1,2014,Hilmand,31.3636474,63.9586111,40000.0008
1,1,2014,Hirat,34.341944,62.203056,66552.2664
1,1,2014,Jawzjan,36.8969692,65.6658568,181456.02
1,1,2014,Kabul,34.533333,69.166667,90000.0018
1,1,2014,Kandahar,30.9960679,65.475736,40000.0008
1,1,2014,Khost,33.3585079,69.8597406,3564916.415
1,1,2014,Kunduz,36.8599307,68.7154975,40000.0008
1,1,2014,Logar,34.0145518,69.1923916,56423.5644
1,1,2014,Nangarhar,34.1718313,70.6216794,80000.0016
1,1,2014,Paktika,32.2645386,68.5247149,516000.0064
1,1,2014,Paktya,33.706199,69.3831079,40000.0008
1,1,2014,Samangan,35.9807296,67.5708536,38433.33
1,1,2014,Sar-e-Pul,35.6707473,66.0463534,46828.4472
1,1,2014,Takhar,36.6698013,69.4784541,72923.2686
1,1,2014,Uruzgan,32.9271287,66.1415263,40000.0008
1,1,2015,Badakhshan,36.7347725,70.8119953,1172590.588
1,1,2015,Badghis,35.1671339,63.7695384,69841.688
1,1,2015,Baghlan,35.8042947,69.2877535,468259.726
1,1,2015,Balkh,36.8909158,67.1894488,231025.846
1,1,2015,Bamyan,34.9073296,67.1894488,192064.642
1,1,2015,Daykundi,33.669495,66.0463534,69841.688
1,1,2015,Faryab,36.0795613,64.905955,69841.688
1,1,2015,Ghazni,33.55,68.416667,69841.688
1,1,2015,Ghor,34.0995776,64.905955,315642.014
1,1,2015,Hilmand,31.3636474,63.9586111,69841.688
1,1,2015,Hirat,34.341944,62.203056,231025.846
1,1,2015,Jawzjan,36.8969692,65.6658568,52381.266
1,1,2015,Kabul,34.533333,69.166667,1124248.746
1,1,2015,Kandahar,30.9960679,65.475736,231025.846
1,1,2015,Kapisa,34.9810572,69.6214562,93122.0037
1,1,2015,Khost,33.3585079,69.8597406,69841.688
