PooledFundId,AllocationSourceId,AllocationYear,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLocation1Budget,FundType
1,4,2015,Badghis,35.1671339,63.7695384,,1
1,4,2015,Baghlan,35.8042947,69.2877535,,1
1,4,2015,Bamyan,34.9073296,67.1894488,,1
1,4,2015,Farah,32.495328,62.2626627,,1
1,4,2015,Faryab,36.0795613,64.905955,,1
1,4,2015,Ghor,34.0995776,64.905955,,1
1,4,2015,Kabul,34.533333,69.166667,,1
1,4,2015,Kandahar,30.9960679,65.475736,,1
1,4,2015,Khost,33.3585079,69.8597406,,1
1,4,2015,Kunduz,36.8599307,68.7154975,,1
1,4,2015,Laghman,34.6897687,70.1455805,,1
1,4,2015,Logar,34.0145518,69.1923916,,1
1,4,2015,Nangarhar,34.1718313,70.6216794,,1
1,4,2015,Nuristan,35.3250223,70.9071236,,1
1,4,2015,Paktika,32.2645386,68.5247149,,1
1,4,2015,Paktya,33.706199,69.3831079,,1
1,4,2015,Samangan,35.9807296,67.5708536,,1
1,4,2015,Takhar,36.6698013,69.4784541,,1
1,4,2015,Zabul,32.1918782,67.1894488,,1
1,4,2017,Badakhshan,36.7347725,70.8119953,,1
1,4,2017,Badghis,35.1671339,63.7695384,,1
1,4,2017,Baghlan,35.8042947,69.2877535,,1
1,4,2017,Balkh,36.8909158,67.1894488,,1
1,4,2017,Bamyan,34.9073296,67.1894488,,1
1,4,2017,Daykundi,33.669495,66.0463534,,1
1,4,2017,Ghor,34.0995776,64.905955,,1
1,4,2017,Kabul,34.533333,69.166667,,1
1,4,2017,Kandahar,30.9960679,65.475736,,1
1,4,2017,Kapisa,34.9810572,69.6214562,,1
1,4,2017,Kunar,34.8465893,71.097317,,1
1,4,2017,Kunduz,36.8599307,68.7154975,,1
1,4,2017,Logar,34.0145518,69.1923916,,1
1,4,2017,Nimroz,31.0261488,62.4504154,,1
1,4,2017,Panjsher,35.883333,69.116667,,1
1,4,2017,Parwan,34.9630977,68.8108849,,1
1,4,2017,Takhar,36.6698013,69.4784541,,1
1,4,2017,Uruzgan,32.9271287,66.1415263,,1
1,4,2017,Wardak,34.3513494,68.2385339,,1
1,4,2017,Zabul,32.1918782,67.1894488,,1
1,4,2019,Badakhshan,36.7347725,70.8119953,,1
1,4,2019,Badghis,35.1671339,63.7695384,,1
