PooledFundId,AllocationSourceId,AllocationYear,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLocation1Budget,FundType
1,3,2018,Badakhshan,36.7347725,70.8119953,,1
1,3,2018,Badghis,35.1671339,63.7695384,,1
1,3,2018,Baghlan,35.8042947,69.2877535,,1
1,3,2018,Balkh,36.8909158,67.1894488,,1
1,3,2018,Farah,32.495328,62.2626627,,1
1,3,2018,Faryab,36.0795613,64.905955,,1
1,3,2018,Ghazni,33.55,68.416667,,1
1,3,2018,Ghor,34.0995776,64.905955,,1
1,3,2018,Hilmand,31.3636474,63.9586111,,1
1,3,2018,Hirat,34.341944,62.203056,,1
1,3,2018,Kabul,34.533333,69.166667,,1
1,3,2018,Kandahar,30.9960679,65.475736,,1
1,3,2018,Khost,33.3585079,69.8597406,,1
1,3,2018,Kunar,34.8465893,71.097317,,1
1,3,2018,Kunduz,36.8599307,68.7154975,,1
1,3,2018,Nangarhar,34.1718313,70.6216794,,1
1,3,2018,Nimroz,31.0261488,62.4504154,,1
1,3,2018,Takhar,36.6698013,69.4784541,,1
1,3,2020,Badakhshan,36.7347725,70.8119953,,1
1,3,2021,Badakhshan,36.7347725,70.8119953,,1
1,3,2021,Badghis,35.1671339,63.7695384,,1
1,3,2021,Baghlan,35.8042947,69.2877535,,1
1,3,2021,Ghor,34.0995776,64.905955,,1
1,3,2021,Khost,33.3585079,69.8597406,,1
1,3,2022,Badakhshan,36.7347725,70.8119953,,1
1,3,2022,Badghis,35.1671339,63.7695384,,1
1,3,2022,Baghlan,35.8042947,69.2877535,,1
1,3,2022,Ghor,34.0995776,64.905955,,1
1,3,2022,Khost,33.3585079,69.8597406,,1
7,3,2019,Barisal,22.24113425,90.43569764,,1
7,3,2019,Chittagong,22.68394485,91.78913898,,1
7,3,2019,Dhaka,23.7861979,90.4026151,,1
7,3,2019,Rajshahi,24.4611511,88.6888703,,1
8,3,2020,Alibori,11.4649482,2.7938798,,1
8,3,2020,Atacora,10.7160515,1.5331527,,1
8,3,2021,Alibori,11.4649482,2.7938798,,1
8,3,2021,Atacora,10.7160515,1.5331527,,1
13,3,2017,Est,12.2527495,0.8736106,,1
16,4,2018,Nord,13.4526455,-2.227736,,1
16,4,2019,Est,12.2527495,0.8736106,,1
16,4,2019,North,34.4333,35.85,,1
16,4,2019,North-West,,,,1
16,4,2019,South,33.55,35.3833,,1
16,4,2019,South-West,,,,1
16,4,2019,West,5.5211184,10.6528684,,1
16,4,2020,Est,12.2527495,0.8736106,,1
16,4,2020,North,34.4333,35.85,,1
16,4,2020,North-West,,,,1
16,4,2020,South,33.55,35.3833,,1
16,4,2020,South-West,,,,1
16,4,2020,West,5.5211184,10.6528684,,1
16,4,2021,Est,12.2527495,0.8736106,,1
16,4,2021,North,34.4333,35.85,,1
16,4,2021,North-West,,,,1
16,4,2021,South,33.55,35.3833,,1
16,4,2021,South-West,,,,1
16,4,2021,West,5.5211184,10.6528684,,1
18,4,2019,Bamingui-Bangoran,8.698547,20.5281149,,1
18,4,2019,Bangui,4.3667,18.5833,,1
18,4,2019,Basse-Kotto,5.1283201,21.3883825,,1
19,4,2019,Barh-El-Gazel,14.4682468,16.9416836,,1
19,4,2019,Batha,13.8367731,18.9649806,,1
19,4,2019,Borkou,17.2658129,18.3695288,,1
19,4,2019,Chari-Baguirmi,11.3345348,16.2884311,,1
19,4,2019,Ennedi Ouest,18.1636803,21.5082709,,1
19,3,2019,Barh-El-Gazel,14.4682468,16.9416836,,1
19,3,2019,Batha,13.8367731,18.9649806,,1
19,3,2019,Borkou,17.2658129,18.3695288,,1
19,3,2019,Chari-Baguirmi,11.3345348,16.2884311,,1
19,3,2019,Ennedi Ouest,18.1636803,21.5082709,,1
19,3,2020,Lac,13.5820827,14.3788329,,1
22,4,2019,Caqueta,1.1153385,-74.1056838,,1
22,4,2019,Casanare,5.5000085,-71.5000086,,1
27,4,2018,Haut-Katanga,1.659227,27.4741,,1
27,4,2018,Ituri,1.562489,30.248427,,1
27,4,2018,Kasai,-6.423572,20.795359,,1
27,4,2018,Lomami,-6.133365,24.483333,,1
27,4,2018,Maniema,-2.949743,25.949989,,1
27,4,2018,Nord-Kivu,.6882,29.2371,,1
27,4,2018,Sud-Kivu,-2.500021,28.866667,,1
27,4,2018,Tanganyika,-6.255568,29.510771,,1
27,3,2018,Equateur,0.047105,18.271124,,1
27,3,2018,Ituri,1.562489,30.248427,,1
27,3,2018,Kwango,-4.866367,16.983376,,1
27,3,2018,Kwilu,-3.298349,17.389665,,1
27,3,2018,Lomami,-6.133365,24.483333,,1
27,3,2019,Haut-Katanga,1.659227,27.4741,,1
27,3,2019,Haut-Lomami,-6.683035,25.8,,1
27,3,2019,Kasai,-6.423572,20.795359,,1
27,3,2019,Lomami,-6.133365,24.483333,,1
27,3,2020,Bas-Uele,2.800279,24.733365,,1
27,3,2020,Equateur,0.047105,18.271124,,1
27,3,2020,Haut-Katanga,1.659227,27.4741,,1
27,3,2020,Haut-Lomami,-6.683035,25.8,,1
27,3,2020,Haut-Uele,2.766892,27.616688,,1
27,3,2020,Ituri,1.562489,30.248427,,1
27,3,2020,Lomami,-6.133365,24.483333,,1
24,4,2019,Agneby-Tiassa,5.96850155,-4.542047925,,1
24,4,2019,Bafing,8.457986,-7.422836878,,1
24,4,2019,Bagoue,9.896245,-6.448633003,,1
