PooledFundId,AllocationYear,ReportApprovedDate,AllocationTypeId,AllocationSourceId,ClusterId,ClusterBudget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
15,2013,2015-05-04,1,2,9,46955.88,12500.0,12500.0,12500.0,12500.0,,,,
15,2014,2015-10-08,3,2,1,1011253.1699999999,14225.0,9725.0,4305.0,3805.0,5204.0,5204.0,3574.0,3574.0
15,2014,2015-10-08,3,2,2,790430.79,51346.0,68485.0,20233.0,25288.0,34275.0,43625.0,9772.0,12972.0
15,2014,2015-10-08,3,2,3,1822306.8399999999,1207.0,1189.0,21756.0,22788.0,1152.0,1133.0,23685.0,24393.0
15,2014,2015-10-08,3,2,4,742542.72,328561.0,361705.0,326725.0,341538.0,294787.0,296373.0,294022.0,293835.0
15,2014,2015-10-08,3,2,6,1355148.07,89510.0,95833.0,60313.0,62912.0,101687.0,95970.0,67488.0,62790.0
15,2014,2015-10-08,3,2,7,3973097.89,738899.0,918085.0,318160.0,353698.0,630277.0,697418.0,301736.0,344737.0
15,2014,2015-10-08,3,2,8,250684.95,33000.0,34000.0,34000.0,34000.0,33000.0,34000.0,34000.0,34000.0
15,2014,2015-10-08,3,2,9,1218516.41,51653.0,60329.0,75202.0,79715.0,46654.0,710294.0,189538.0,201821.0
15,2014,2015-10-08,3,2,10,1925604.46,51479.0,61683.0,86096.0,72191.0,31758.0,49868.0,64000.0,56401.0
15,2014,2015-10-08,3,2,11,1227355.15,75449.0,101153.0,52884.0,63789.0,71379.0,92824.0,61382.0,63550.0
15,2014,2015-10-08,3,2,12,400034.99,77000.0,63000.0,27600.0,32400.0,262474.0,214752.0,94082.0,110444.0
15,2014,2015-10-08,4,2,4,1754687.4,37500.0,37500.0,37500.0,37500.0,37500.0,37500.0,37500.0,37500.0
15,2014,2015-10-08,4,2,6,1950000.01,189833.0,189393.0,102522.0,102522.0,61225.0,63725.0,26775.0,26775.0
15,2014,2015-10-08,4,2,7,699205.2,461326.0,377450.0,170627.0,139604.0,455200.0,375540.0,170700.0,136560.0
15,2014,2015-10-08,4,2,8,3000000.0,21600.0,21600.0,,,,,,
15,2014,2015-10-08,4,2,9,1124999.54,,,7650.0,7350.0,,,7885.0,7907.0
15,2014,2015-10-08,4,2,11,1500000.0,35280.0,36720.0,62720.0,65280.0,35280.0,36720.0,62720.0,65280.0
15,2014,2015-10-08,4,2,12,1223326.72,,,,,,,,
15,2014,2015-10-08,5,1,3,150267.59,50.0,50.0,6585.0,6635.0,65.0,15.0,8462.0,7723.0
