PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,Budget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls,DisabledMen,DisabledWomen,DisabledBoys,DisabledGirls,ReachedDisabledMen,ReachedDisabledWomen,ReachedDisabledBoys,ReachedDisabledGirls
15,2013,2015-05-04,1,2,46955.88,12500.0,12500.0,12500.0,12500.0,,,,,,,,,,,,
15,2014,2015-10-08,3,2,14716975.44,1512329.0,1775187.0,1027274.0,1092124.0,1512647.0,2241461.0,1143279.0,1208517.0,,,,,,,,
15,2014,2015-10-08,4,2,11252218.87,745539.0,662663.0,381019.0,352256.0,589205.0,513485.0,305580.0,274022.0,,,,,,,,
15,2014,2015-10-08,5,1,1362506.2,106998.0,158698.0,88433.0,93764.0,129568.0,145411.0,101086.0,104933.0,,,,,,,,
15,2014,2016-03-17,5,1,183168.35,,790.0,2347.0,2719.0,,,721.0,911.0,,,,,,,,
15,2014,2016-03-22,6,2,196882.18,,22559.0,,,,10962.0,4223.0,5885.0,,,,,,,,
15,2014,2016-03-30,5,1,585000.35,34806.0,62810.0,22025.0,29201.0,68057.0,104869.0,39593.0,49649.0,,,,,,,,
15,2014,2016-03-31,5,1,99009.9,6457.0,8905.0,6314.0,7475.0,3244.0,3396.0,2622.0,2688.0,,,,,,,,
15,2014,2016-03-31,6,2,1810709.0,52161.0,55980.0,22982.0,24208.0,37366.0,49001.0,25209.0,25474.0,,,,,,,,
15,2014,2016-04-17,3,2,474747.94,190.0,190.0,4061.0,4261.0,172.0,239.0,4650.0,4515.0,,,,,,,,
15,2014,2016-04-24,5,1,100000.0,2550.0,5100.0,4250.0,5100.0,2000.0,4500.0,2500.0,3000.0,,,,,,,,
15,2014,2016-04-24,6,2,217334.0,5880.0,6120.0,9000.0,9000.0,14056.0,16952.0,10865.0,13159.0,,,,,,,,
15,2014,2016-05-02,5,1,148514.85,7650.0,9350.0,,,5998.0,6886.0,,,,,,,,,,
15,2014,2016-05-02,6,2,363265.24,17245.0,21436.0,14349.0,16098.0,17655.0,21925.0,14860.0,16360.0,,,,,,,,
15,2014,2016-05-03,5,1,378523.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,,,,,,,,
15,2014,2016-05-03,6,2,916112.0,67000.0,56500.0,29950.0,33550.0,95331.0,79680.0,40105.0,45471.0,,,,,,,,
15,2014,2016-05-04,5,1,800000.0,7564.0,17087.0,4523.0,12151.0,14406.0,24286.0,6174.0,12674.0,,,,,,,,
15,2014,2016-05-08,5,1,123575.37,3500.0,4000.0,1125.0,1375.0,17544.0,20049.0,6000.0,6530.0,,,,,,,,
15,2014,2016-05-08,6,2,335886.14,22205.0,29769.0,17968.0,18978.0,12692.0,18638.0,14425.0,14510.0,,,,,,,,
15,2014,2016-05-15,6,2,79207.87,4320.0,6560.0,2400.0,2720.0,4207.0,6812.0,2309.0,2617.0,,,,,,,,
15,2014,2016-05-23,6,2,99009.9,120.0,80.0,2000.0,3800.0,130.0,70.0,2200.0,3600.0,,,,,,,,
