PooledFundId,AllocationYear,ReportApprovedDate,BeneficiaryTypeId,AllocationtypeId,AllocationSourceId,TargetMen,TargetWomen,TargetBoys,TargetGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
1,2014,2015-04-16,4,1,2,75.0,,,,75.0,,,
1,2014,2015-06-24,5,5,1,18900.0,18900.0,28350.0,28350.0,32784.0,32784.0,49176.0,49176.0
1,2014,2015-06-27,2,5,1,290.0,322.0,334.0,334.0,120.0,119.0,215.0,234.0
1,2014,2015-06-27,5,5,1,2611.0,2893.0,3008.0,3008.0,2058.0,2159.0,3897.0,3899.0
1,2014,2015-08-10,2,5,1,941.0,941.0,1673.0,1673.0,5308.0,5308.0,18874.0,18874.0
1,2014,2015-08-10,5,5,1,6075.0,6075.0,10800.0,10800.0,6075.0,6075.0,10800.0,10800.0
1,2014,2015-08-11,2,2,1,3794.0,3794.0,871.0,871.0,2307.0,3281.0,1073.0,994.0
1,2014,2015-08-15,4,2,1,27.0,3.0,,,26.0,4.0,,
1,2014,2015-08-18,2,2,1,2336.0,3292.0,1178.0,1036.0,2384.0,3555.0,1264.0,1135.0
1,2014,2015-08-18,3,2,1,1954.0,2420.0,898.0,734.0,1901.0,2586.0,916.0,768.0
1,2014,2015-09-09,4,1,2,290.0,36082.0,13113.0,13155.0,906.0,46292.0,56770.0,55464.0
1,2014,2015-09-13,4,1,2,342.0,9918.0,13193.0,13193.0,336.0,20436.0,12623.0,17257.0
1,2014,2015-09-14,4,1,2,7377.0,11251.0,14176.0,13621.0,14473.0,30174.0,17370.0,36880.0
1,2014,2015-09-21,4,1,2,313.0,12240.0,4674.0,4674.0,382.0,16291.0,1346.0,1758.0
1,2014,2015-10-04,4,1,2,138.0,11.0,3730.0,2070.0,138.0,11.0,4442.0,2392.0
1,2014,2015-10-18,4,1,2,428.0,1404.0,2014.0,2014.0,431.0,2125.0,1881.0,1887.0
1,2014,2015-10-18,4,5,1,1130.0,959.0,1496.0,1275.0,1021.0,1094.0,2045.0,1695.0
1,2014,2015-10-29,4,1,2,535.0,1730.0,2005.0,2005.0,535.0,126.0,1780.0,987.0
1,2014,2015-11-02,4,1,2,80.0,260178.0,,,78.0,240070.0,,
1,2014,2015-11-04,4,1,2,412.0,700.0,704.0,639.0,442.0,3780.0,1068.0,1060.0
1,2014,2015-11-10,4,1,2,380.0,80300.0,71352.0,68554.0,2027.0,117514.0,37335.0,35871.0
1,2014,2015-12-08,5,5,1,7000.0,7000.0,28000.0,28000.0,37754.0,36272.0,52137.0,50090.0
1,2014,2015-12-20,3,1,2,17827.0,17127.0,4456.0,4281.0,17849.0,18499.0,4577.0,4792.0
1,2014,2015-12-20,4,1,2,1000.0,200.0,40058.0,41694.0,660.0,140.0,41256.0,42941.0
1,2014,2016-02-29,4,1,2,181.0,130.0,,,232.0,88.0,,
1,2014,2016-03-10,2,4,2,239577.0,240391.0,47521.0,47520.0,245621.0,245621.0,49764.0,49764.0
1,2014,2016-03-10,4,4,2,634.0,354.0,,,634.0,354.0,,
1,2014,2016-03-10,5,4,2,20910.0,22160.0,4541.0,4542.0,20543.0,22191.0,4094.0,4123.0
1,2014,2016-06-12,2,1,2,344.0,4063.0,6799.0,6799.0,,,,
1,2014,2016-06-12,4,1,2,344.0,4063.0,6799.0,6799.0,344.0,5230.0,9626.0,10869.0
1,2014,2016-06-19,4,4,2,527.0,438.0,,,513.0,501.0,,
1,2014,2016-06-20,4,4,2,102.0,8676.0,4974.0,5387.0,10369.0,12011.0,11104.0,12198.0
1,2014,2016-07-04,2,4,2,86.0,4624.0,8143.0,7823.0,105.0,4121.0,7174.0,7145.0
1,2014,2016-07-04,3,4,2,,41.0,69.0,66.0,,34.0,53.0,49.0
1,2014,2016-07-04,5,4,2,,192.0,326.0,312.0,,179.0,295.0,251.0
1,2014,2016-07-12,2,2,1,84042.0,87479.0,21007.0,21868.0,76146.0,79254.0,19036.0,19814.0
1,2015,2016-01-05,2,7,2,3748.0,3748.0,6662.0,6662.0,4735.0,4735.0,8416.0,8416.0
