PFId,AllNm,PrjCode,OPSCodeAgg,EmgAgg,AllYr,AllSrc,OrgNm,OrgTypeId,PrjTitle,AStrDt,AEndDt,PrjDur,PrgBdg,BgdDC,BdgSC,PrjSubDt,BenAgg,PrjGM,PrjStsNm,PrjStsId,PrjStsCode,PartCode,ApprDt
15,2019 - SHF Reserve for Emergencies,SUD-19/HSD20/RE/E/UN/14146,,,2019,1,United Nations Children's Fund,3,Education in Emergency response to flood affected areas in White Nile and Khartoum state,10/1/2019 12:00:00 AM,8/31/2020 12:00:00 AM,11 Months,500289.2,397880,69680,9/19/2019 11:04:24 AM,300##300##2000##2000,"3- Likely to contribute to gender equality, but without attention to age groups",Implementation,294,PRJ_UND_FINAL_RPT,19866.5610,10/10/2019 10:01:12 AM
15,2019 - SHF Reserve for Emergencies,SUD-19/HSD20/RE/ESNFIs/INGO/13249,,,2019,1,Norwegian Church Aid,2,"Readymade Shelter Support for IDPs in Otash camp, South Darfur State",8/1/2019 12:00:00 AM,8/31/2020 12:00:00 AM,13 Months,200016.1,147661.4,39269.5,6/19/2019 12:45:40 PM,1800##2700##2250##2250,"4- Likely to contribute to gender equality, including across age groups",Project Closure,171,PRJ_PRJ_CLS,12225.5760,8/5/2019 6:39:50 AM
15,2019 - SHF Reserve for Emergencies,SUD-19/HSD20/RE/ESNFIs/UN/14133,,,2019,1,United Nations High Commissioner for Refugees,3,Provision of emergency and life-saving NFIs to those affected by humanitarian emergencies,9/30/2019 12:00:00 AM,9/30/2020 12:00:00 AM,"12 Months, 1 Days",1500000,1325151,76717.88,9/21/2019 11:11:19 AM,18490##24510##27735##36765,"4- Likely to contribute to gender equality, including across age groups",Reporting,294,PRJ_UND_FINAL_RPT,19727.6340,9/30/2019 2:34:46 PM
15,2019 - SHF Reserve for Emergencies,SUD-19/HSD20/RE/FSL/INGO/14060,,,2019,1,Cooperazione Internazionale - COOPI,2,"Emergency intervention to protect livelihood of vulnerable individuals affected by floods in Kuma locality, North Darfur",10/15/2019 12:00:00 AM,8/31/2020 12:00:00 AM,"10 Months, 17 Days",200000,177280,9635.84,9/13/2019 7:10:12 AM,568##980##515##515,"4- Likely to contribute to gender equality, including across age groups",Project Closure,171,PRJ_PRJ_CLS,4167.8100,10/14/2019 10:41:45 AM
15,2019 - SHF Reserve for Emergencies,SUD-19/HSD20/RE/FSL/UN/14240,,,2019,1,World Food Programme,3,Strengthening self-reliance for vulnerable protracted IDPs through a multi-purpose cash grant in Kreinik camp,1/1/2020 12:00:00 AM,3/31/2020 12:00:00 AM,3 Months,750010.8,704235.4,0,10/10/2019 2:06:05 PM,2834##3349##3220##3478,"3- Likely to contribute to gender equality, but without attention to age groups",Project Closure,182,PRJ_UND_CLSR,20839.0500,11/15/2019 8:01:37 PM
15,2019 - SHF Reserve for Emergencies,SUD-19/HSD20/RE/H/INGO/14233,,,2019,1,Save the Children International,2,Health Insurance Pilot for Protracted Displacement in Kreinik camp of West Darfur State,11/15/2019 12:00:00 AM,11/14/2020 12:00:00 AM,12 Months,99486.4,68102.94,24875,10/12/2019 2:44:00 PM,2669##2778##2512##2721,"4- Likely to contribute to gender equality, including across age groups",Project Closure,171,PRJ_PRJ_CLS,15837.6780,11/25/2019 1:02:28 PM
15,2019 - SHF Reserve for Emergencies,SUD-19/HSD20/RE/H/UN/13111,,,2019,1,World Health Organization,3,Top up for vaccination campaign in response to the countrywide measles outbreak in Sudan.,5/30/2019 12:00:00 AM,8/29/2019 12:00:00 AM,3 Months,258262.4,241366.7,0,5/12/2019 9:13:20 AM,0##0##214045##205651,"4- Likely to contribute to gender equality, including across age groups",Project Closure,182,PRJ_UND_CLSR,20977.9770,6/2/2019 11:15:08 AM
15,2019 - SHF Reserve for Emergencies,SUD-19/HSD20/RE/H/UN/13122,,,2019,1,United Nations Children's Fund,3,Top up for vaccination campaign in response to the countrywide measles outbreak in Sudan.,5/30/2019 12:00:00 AM,8/29/2019 12:00:00 AM,3 Months,249939.8,233588.6,0,5/12/2019 1:36:19 PM,0##0##214045##205651,"4- Likely to contribute to gender equality, including across age groups",Project Closure,182,PRJ_UND_CLSR,19866.5610,6/2/2019 11:17:55 AM
15,2019 - SHF Reserve for Emergencies,SUD-19/HSD20/RE/H/UN/13877,,,2019,1,World Health Organization,3,"Response to acute emergencies in Khartoum, including mass gathering, social unrest and floods.",9/16/2019 12:00:00 AM,9/30/2020 12:00:00 AM,"12 Months, 15 Days",300030.1,242290,38112,9/1/2019 10:23:50 AM,27350##26275##5800##5575,"4- Likely to contribute to gender equality, including across age groups",Reporting,294,PRJ_UND_FINAL_RPT,20977.9770,10/10/2019 10:58:22 AM
15,2019 - SHF Reserve for Emergencies,SUD-19/HSD20/RE/H/UN/13911,,,2019,1,United Nations Population Fund,3,Provision of life saving integrated SRH including SGBV service (CMR) to affected population in Khartoum state,10/1/2019 12:00:00 AM,9/30/2020 12:00:00 AM,12 Months,200000.3,186916.2,0,9/1/2019 1:12:41 PM,106##1788##731##963,"4- Likely to contribute to gender equality, including across age groups",Project Closure,182,PRJ_UND_CLSR,19171.9260,9/17/2019 4:22:32 PM
